"Region,Local authority,AreaCode,Ofsted phase,Total schools,Outstanding,Good,Requires Improvement,Inadequate"
"London,Barking and Dagenham,E09000002,Primary,27,3,23,1,0"
"London,Barking and Dagenham,E09000002,Secondary,13,6,7,0,0"
"London,Barking and Dagenham,E09000002,Special_and_PRU,3,0,3,0,0"
"London,Barnet,E09000003,Primary,75,15,55,5,0"
"London,Barnet,E09000003,Secondary,25,6,19,0,0"
"London,Barnet,E09000003,Special_and_PRU,5,2,3,0,0"
"London,Bexley,E09000004,Primary,48,10,35,3,0"
"London,Bexley,E09000004,Secondary,14,2,9,2,1"
"London,Bexley,E09000004,Special_and_PRU,5,0,5,0,0"
"London,Brent,E09000005,Primary,50,8,40,1,1"
"London,Brent,E09000005,Secondary,12,6,6,0,0"
"London,Brent,E09000005,Special_and_PRU,8,4,3,1,0"
"London,Bromley,E09000006,Primary,65,24,40,1,0"
"London,Bromley,E09000006,Secondary,18,5,11,2,0"
"London,Bromley,E09000006,Special_and_PRU,3,1,2,0,0"
"London,Camden,E09000007,Primary,30,17,13,0,0"
"London,Camden,E09000007,Secondary,8,1,7,0,0"
"London,Camden,E09000007,Special_and_PRU,3,1,2,0,0"
"London,Camden,E09000019,Special_and_PRU,1,0,1,0,0"
"London,City of London,E09000001,Primary,1,1,0,0,0"
"London,Croydon,E09000008,Primary,71,18,48,5,0"
"London,Croydon,E09000008,Secondary,21,4,14,3,0"
"London,Croydon,E09000008,Special_and_PRU,10,4,5,1,0"
"London,Ealing,E09000009,Primary,50,14,34,2,0"
"London,Ealing,E09000009,Secondary,16,10,6,0,0"
"London,Ealing,E09000009,Special_and_PRU,4,2,2,0,0"
"London,Enfield,E09000010,Primary,58,9,49,0,0"
"London,Enfield,E09000010,Secondary,17,3,14,0,0"
"London,Enfield,E09000010,Special_and_PRU,4,1,3,0,0"
"London,Greenwich,E09000011,Primary,38,12,26,0,0"
"London,Greenwich,E09000011,Secondary,16,3,10,3,0"
"London,Greenwich,E09000011,Special_and_PRU,4,2,2,0,0"
"London,Hackney,E09000012,Primary,47,20,27,0,0"
"London,Hackney,E09000012,Secondary,14,4,10,0,0"
"London,Hackney,E09000012,Special_and_PRU,4,2,2,0,0"
"London,Hammersmith and Fulham,E09000013,Primary,31,13,18,0,0"
"London,Hammersmith and Fulham,E09000013,Secondary,11,5,6,0,0"
"London,Hammersmith and Fulham,E09000013,Special_and_PRU,5,2,3,0,0"
"London,Haringey,E09000014,Primary,47,18,27,2,0"
"London,Haringey,E09000014,Secondary,10,4,6,0,0"
"London,Haringey,E09000014,Special_and_PRU,5,4,1,0,0"
"London,Harrow,E09000015,Primary,38,9,27,2,0"
"London,Harrow,E09000015,Secondary,11,6,5,0,0"
"London,Harrow,E09000015,Special_and_PRU,4,3,1,0,0"
"London,Havering,E09000016,Primary,44,10,33,1,0"
"London,Havering,E09000016,Secondary,15,4,11,0,0"
"London,Havering,E09000016,Special_and_PRU,4,0,4,0,0"
"London,Hillingdon,E09000017,Primary,52,8,42,2,0"
"London,Hillingdon,E09000017,Secondary,21,4,16,1,0"
"London,Hillingdon,E09000017,Special_and_PRU,8,3,5,0,0"
"London,Hounslow,E09000018,Primary,39,7,30,2,0"
"London,Hounslow,E09000018,Secondary,20,7,13,0,0"
"London,Hounslow,E09000018,Special_and_PRU,5,1,4,0,0"
"London,Islington,E09000019,Primary,30,8,20,1,1"
"London,Islington,E09000019,Secondary,10,5,5,0,0"
"London,Islington,E09000019,Special_and_PRU,6,3,3,0,0"
"London,Kensington and Chelsea,E09000020,Primary,23,11,11,1,0"
"London,Kensington and Chelsea,E09000020,Secondary,6,3,2,0,1"
"London,Kensington and Chelsea,E09000020,Special_and_PRU,2,0,2,0,0"
"London,Kingston upon Thames,E09000021,Primary,24,9,15,0,0"
"London,Kingston upon Thames,E09000021,Secondary,10,4,6,0,0"
"London,Kingston upon Thames,E09000021,Special_and_PRU,2,0,2,0,0"
"London,Kingston upon Thames,E09000029,Primary,1,0,1,0,0"
"London,Lambeth,E09000022,Primary,52,15,33,4,0"
"London,Lambeth,E09000022,Secondary,16,4,11,1,0"
"London,Lambeth,E09000022,Special_and_PRU,5,1,2,1,1"
"London,Lewisham,E09000023,Primary,51,9,41,1,0"
"London,Lewisham,E09000023,Secondary,13,3,9,1,0"
"London,Lewisham,E09000023,Special_and_PRU,4,1,3,0,0"
"London,Merton,E09000024,Primary,34,10,24,0,0"
"London,Merton,E09000024,Secondary,8,6,2,0,0"
"London,Merton,E09000024,Special_and_PRU,1,0,1,0,0"
"London,Newham,E09000025,Primary,57,28,29,0,0"
"London,Newham,E09000025,Secondary,19,6,13,0,0"
"London,Newham,E09000025,Special_and_PRU,4,1,3,0,0"
"London,Redbridge,E09000026,Primary,44,12,32,0,0"
"London,Redbridge,E09000026,Secondary,16,5,10,1,0"
"London,Redbridge,E09000026,Special_and_PRU,5,1,2,2,0"
"London,Redbridge,E09000031,Secondary,1,0,1,0,0"
"London,Richmond upon Thames,E09000027,Primary,35,16,19,0,0"
"London,Richmond upon Thames,E09000027,Secondary,11,5,6,0,0"
"London,Richmond upon Thames,E09000027,Special_and_PRU,1,0,1,0,0"
"London,Southwark,E09000028,Primary,57,17,38,2,0"
"London,Southwark,E09000028,Secondary,19,9,9,1,0"
"London,Southwark,E09000028,Special_and_PRU,7,2,5,0,0"
"London,Sutton,E09000029,Primary,32,12,19,1,0"
"London,Sutton,E09000029,Secondary,13,5,8,0,0"
"London,Sutton,E09000029,Special_and_PRU,4,2,2,0,0"
"London,Tower Hamlets,E09000030,Primary,53,21,30,2,0"
"London,Tower Hamlets,E09000030,Secondary,14,3,10,1,0"
"London,Tower Hamlets,E09000030,Special_and_PRU,2,1,1,0,0"
"London,Waltham Forest,E09000031,Primary,38,14,22,2,0"
"London,Waltham Forest,E09000031,Secondary,14,2,11,1,0"
"London,Waltham Forest,E09000031,Special_and_PRU,5,1,4,0,0"
"London,Wandsworth,E09000032,Primary,53,12,39,2,0"
"London,Wandsworth,E09000032,Secondary,8,4,4,0,0"
"London,Wandsworth,E09000032,Special_and_PRU,5,0,5,0,0"
"London,Westminster,E09000033,Primary,27,8,19,0,0"
"London,Westminster,E09000033,Secondary,10,5,5,0,0"
"London,Westminster,E09000033,Special_and_PRU,2,0,2,0,0"
"South East,Kent,E07000105,Primary,29,3,25,1,0"
"South East,Kent,E07000105,Secondary,7,1,6,0,0"
"South East,Kent,E07000105,Special_and_PRU,3,1,2,0,0"
